Datetime,Open,High,Low,Close,Volume
2021-05-31 09:45:00+05:30,35175.4,35233.2,35167.15,35206.85,0
2021-05-31 09:50:00+05:30,35205.3,35235.65,35173.7,35207.75,0
2021-05-31 09:55:00+05:30,35205.6,35246.55,35174.45,35187.25,0
2021-05-31 10:00:00+05:30,35191.3,35218.35,35181.5,35187.2,0
2021-05-31 10:05:00+05:30,35186.85,35299.05,35177.0,35273.05,0
2021-05-31 10:10:00+05:30,35275.15,35347.85,35275.15,35347.85,0
2021-05-31 10:15:00+05:30,35346.6,35371.6,35319.1,35340.0,0
2021-05-31 10:20:00+05:30,35346.3,35346.75,35303.45,35334.6,0
2021-05-31 10:25:00+05:30,35333.4,35417.05,35333.4,35415.8,0
2021-05-31 10:30:00+05:30,35415.8,35426.85,35379.5,35398.55,0
2021-05-31 10:35:00+05:30,35397.5,35406.8,35371.9,35404.4,0
2021-05-31 10:40:00+05:30,35405.05,35411.65,35389.35,35397.2,0
2021-05-31 10:45:00+05:30,35398.55,35400.45,35338.7,35340.8,0
2021-05-31 10:50:00+05:30,35340.4,35368.85,35332.4,35357.7,0
2021-05-31 10:55:00+05:30,35359.0,35379.05,35337.55,35347.15,0
2021-05-31 11:00:00+05:30,35348.9,35349.3,35293.8,35298.05,0
2021-05-31 11:05:00+05:30,35296.9,35327.2,35294.95,35327.2,0
2021-05-31 11:10:00+05:30,35324.55,35330.0,35263.8,35273.3,0
2021-05-31 11:15:00+05:30,35271.7,35331.3,35264.0,35326.1,0
2021-05-31 11:20:00+05:30,35324.05,35337.5,35275.0,35280.75,0
2021-05-31 11:25:00+05:30,35280.3,35290.3,35254.1,35290.3,0
2021-05-31 11:30:00+05:30,35289.2,35336.75,35289.2,35336.75,0
2021-05-31 11:35:00+05:30,35335.05,35349.35,35325.45,35329.75,0
2021-05-31 11:40:00+05:30,35327.95,35328.9,35300.8,35307.75,0
2021-05-31 11:45:00+05:30,35306.35,35343.0,35281.65,35339.9,0
2021-05-31 11:50:00+05:30,35340.5,35349.3,35286.4,35304.5,0
2021-05-31 11:55:00+05:30,35307.35,35322.5,35291.5,35318.0,0
2021-05-31 12:00:00+05:30,35316.85,35334.1,35295.7,35319.7,0
2021-05-31 12:05:00+05:30,35318.55,35325.55,35306.5,35325.35,0
2021-05-31 12:10:00+05:30,35322.75,35339.4,35320.7,35332.2,0
2021-05-31 12:15:00+05:30,35335.8,35347.85,35308.45,35314.1,0
2021-05-31 12:20:00+05:30,35309.95,35327.4,35306.7,35318.25,0
2021-05-31 12:25:00+05:30,35311.2,35383.65,35306.6,35374.9,0
2021-05-31 12:30:00+05:30,35376.1,35433.85,35376.1,35428.95,0
2021-05-31 12:35:00+05:30,35428.5,35459.7,35402.25,35414.9,0
2021-05-31 12:40:00+05:30,35415.6,35418.3,35380.55,35397.55,0
2021-05-31 12:45:00+05:30,35401.75,35465.65,35395.85,35461.1,0
2021-05-31 12:50:00+05:30,35463.2,35464.0,35437.55,35443.15,0
2021-05-31 12:55:00+05:30,35439.5,35454.2,35425.2,35452.3,0
2021-05-31 13:00:00+05:30,35451.9,35477.9,35440.95,35475.6,0
2021-05-31 13:05:00+05:30,35474.8,35474.8,35440.55,35456.35,0
2021-05-31 13:10:00+05:30,35454.9,35470.1,35423.3,35425.7,0
2021-05-31 13:15:00+05:30,35427.75,35433.55,35383.25,35421.8,0
2021-05-31 13:20:00+05:30,35421.25,35449.0,35388.2,35407.9,0
2021-05-31 13:25:00+05:30,35405.9,35424.1,35371.85,35375.25,0
2021-05-31 13:30:00+05:30,35375.85,35393.05,35339.2,35380.1,0
2021-05-31 13:35:00+05:30,35381.75,35410.55,35371.75,35394.35,0
2021-05-31 13:40:00+05:30,35393.25,35400.5,35355.9,35385.8,0
2021-05-31 13:45:00+05:30,35389.05,35408.15,35354.4,35364.3,0
2021-05-31 13:50:00+05:30,35362.35,35388.6,35347.6,35374.25,0
2021-05-31 13:55:00+05:30,35378.45,35394.2,35361.75,35394.2,0
2021-05-31 14:00:00+05:30,35391.1,35480.85,35391.1,35480.25,0
2021-05-31 14:05:00+05:30,35477.9,35512.65,35453.15,35501.8,0
2021-05-31 14:10:00+05:30,35505.1,35506.75,35459.05,35489.6,0
2021-05-31 14:15:00+05:30,35490.35,35503.5,35458.2,35474.7,0
2021-05-31 14:20:00+05:30,35473.1,35478.85,35445.45,35449.55,0
2021-05-31 14:25:00+05:30,35449.0,35474.9,35432.45,35471.35,0
2021-05-31 14:30:00+05:30,35469.15,35486.0,35442.85,35445.65,0
2021-05-31 14:35:00+05:30,35446.8,35471.8,35401.55,35435.6,0
2021-05-31 14:40:00+05:30,35435.6,35451.6,35432.55,35436.2,0
2021-05-31 14:45:00+05:30,35433.5,35459.55,35407.6,35444.65,0
2021-05-31 14:50:00+05:30,35445.2,35454.05,35409.45,35447.95,0
2021-05-31 14:55:00+05:30,35448.15,35451.25,35425.15,35428.2,0
2021-05-31 15:00:00+05:30,35431.65,35478.9,35417.0,35446.05,0
2021-05-31 15:05:00+05:30,35451.35,35504.35,35445.05,35490.0,0
2021-05-31 15:10:00+05:30,35494.05,35559.3,35486.3,35556.85,0
2021-05-31 15:15:00+05:30,35562.75,35582.35,35548.7,35572.4,0
2021-05-31 15:20:00+05:30,35571.5,35573.95,35518.65,35533.3,0
2021-05-31 15:25:00+05:30,35532.05,35536.0,35481.1,35484.55,0
